position,detector,condition,calibration,auroc,tpr,fpr,threshold
t_inst,logistic,plain,strict,0.9877863636891422,0.7535211267605634,0.010717230008244023,3.9559555053710938
t_inst,logistic,plain,matched,0.9877863636891422,0.7535211267605634,0.010717230008244023,3.9559555053710938
t_inst,logistic,swahili,strict,0.9668773150029609,0.3732394366197183,0.00247320692497939,3.9559555053710938
t_inst,logistic,swahili,matched,0.9668773150029609,0.5933098591549296,0.013190436933223413,1.8138535022735596
t_inst,logistic,reverse,strict,0.5564940550143399,0.0,0.0,3.9559555053710938
t_inst,logistic,reverse,matched,0.5564940550143399,0.02112676056338028,0.00741962077493817,-4.310152530670166
t_inst,centroid,plain,strict,0.9394165902256075,0.5651408450704225,0.02225886232481451,0.0069833616726100445
t_inst,centroid,plain,matched,0.9394165902256075,0.5651408450704225,0.02225886232481451,0.0069833616726100445
t_inst,centroid,swahili,strict,0.8950904520279136,0.09683098591549295,0.0016488046166529267,0.0069833616726100445
t_inst,centroid,swahili,matched,0.8950904520279136,0.3362676056338028,0.01483924154987634,0.005872258450835943
t_inst,centroid,reverse,strict,0.7673516366127515,0.0,0.0,0.0069833616726100445
t_inst,centroid,reverse,matched,0.7673516366127515,0.13556338028169015,0.015663643858202802,0.005362372379750013
t_post_inst,logistic,plain,strict,0.9940927510653368,0.875,0.009068425391591096,2.821851968765259
t_post_inst,logistic,plain,matched,0.9940927510653368,0.875,0.009068425391591096,2.821851968765259
t_post_inst,logistic,swahili,strict,0.9670050393042509,0.1073943661971831,0.0,2.821851968765259
t_post_inst,logistic,swahili,matched,0.9670050393042509,0.5862676056338029,0.010717230008244023,-0.48678159713745117
t_post_inst,logistic,reverse,strict,0.5730641059879474,0.0,0.0,2.821851968765259
t_post_inst,logistic,reverse,matched,0.5730641059879474,0.02992957746478873,0.009068425391591096,-7.783360481262207
t_post_inst,centroid,plain,strict,0.970003657559537,0.5897887323943662,0.010717230008244023,0.012209299020469189
t_post_inst,centroid,plain,matched,0.970003657559537,0.5897887323943662,0.010717230008244023,0.012209299020469189
t_post_inst,centroid,swahili,strict,0.9320419632386236,0.0,0.0,0.012209299020469189
t_post_inst,centroid,swahili,matched,0.9320419632386236,0.3732394366197183,0.00494641384995878,-0.0014172688825055957
t_post_inst,centroid,reverse,strict,0.547461189229358,0.0,0.0,0.012209299020469189
t_post_inst,centroid,reverse,matched,0.547461189229358,0.008802816901408451,0.006595218466611707,-0.009645760990679264
