block,representation,condition,auroc,strict_tpr,strict_fpr,matched_tpr,matched_fpr,retained_above_chance_auroc
31,dense,plain,0.9898430152224145,0.7975352112676056,0.013190436933223413,0.7975352112676056,0.013190436933223413,
31,dense,swahili,0.9744696538671435,0.5862676056338029,0.00989282769991756,0.6038732394366197,0.01236603462489695,
31,dense,reverse,0.5602437792459621,0.0,0.0,0.014084507042253521,0.006595218466611707,
31,sae,plain,0.9806468655295334,0.6725352112676056,0.008244023083264633,0.6725352112676056,0.008244023083264633,0.9812263329125852
31,sae,swahili,0.9545374058033278,0.29225352112676056,0.004122011541632316,0.4595070422535211,0.009068425391591096,0.9579904680913547
31,sae,reverse,0.5735053353924039,0.0,0.0,0.022887323943661973,0.018136850783182192,1.2201315440769034
40,dense,plain,0.9875076924863277,0.7464788732394366,0.010717230008244023,0.7464788732394366,0.010717230008244023,
40,dense,swahili,0.9689804117367021,0.4524647887323944,0.005770816158285243,0.5545774647887324,0.009068425391591096,
40,dense,reverse,0.6741586161652521,0.0,0.0,0.02640845070422535,0.009068425391591096,
40,sae,plain,0.9732490159423149,0.5598591549295775,0.005770816158285243,0.5598591549295775,0.005770816158285243,0.9707518942495196
40,sae,swahili,0.9288038619184189,0.14084507042253522,0.00247320692497939,0.3855633802816901,0.009068425391591096,0.9143321366674918
40,sae,reverse,0.5438515263054005,0.0,0.0,0.007042253521126761,0.01978565539983512,0.25179073692105775
