achieved_fpr,best_c,layer,model_name,n_examples,n_negative,n_positive,positive_prediction_rate,positive_predictions,roc_auc,split,threshold,tpr_at_threshold
0.01,,,tfidf_lr,,,,,232,0.986588888888889,val,0.7047026704015079,0.7633333333333333
0.0,,,tfidf_lr,,,,,238,0.9872777777777778,test,0.7047026704015079,0.7933333333333333
0.0,,,tfidf_lr,2000,0,2000,0.7565,1513,,adversarial,0.7047026704015079,0.7565
0.01,100.0,20,dense_probe,,,,,274,0.9885,val,0.9704500208538167,0.9033333333333333
0.03333333333333333,100.0,20,dense_probe,,,,,269,0.9818111111111111,test,0.9704500208538167,0.8633333333333333
0.0,,20,dense_probe,1991,0,1991,0.7835258663987946,1560,,adversarial,0.9704500208538167,0.7835258663987946
0.01,0.1,20,sae_probe,,,,,133,0.9408555555555556,val,0.9947659206554527,0.43333333333333335
0.01,0.1,20,sae_probe,,,,,117,0.9368333333333334,test,0.9947659206554527,0.38
0.0,,20,sae_probe,1991,0,1991,0.2466097438473129,491,,adversarial,0.9947659206554527,0.2466097438473129
